timestamp,worker_ip,latency_ms,throughput_rps,notes
2026-04-16T22:11:32.010264,127.0.0.1,0,0,
2026-04-16T22:11:33.010873,127.0.0.1,0,0,
2026-04-16T22:11:34.011432,127.0.0.1,0,0,
2026-04-16T22:11:35.011922,127.0.0.1,0,0,
2026-04-16T22:11:36.012408,127.0.0.1,0,0,
2026-04-16T22:11:37.012875,127.0.0.1,0.339,0,Python socket-based benchmark
2026-04-16T22:19:43.468782,192.168.192.166,0,0,
2026-04-16T22:19:44.470575,192.168.192.166,0,0,
2026-04-16T22:19:45.472452,192.168.192.166,0,0,
2026-04-16T22:19:46.474389,192.168.192.166,0,0,
2026-04-16T22:19:47.476307,192.168.192.166,0,0,
2026-04-16T22:19:48.477962,192.168.192.166,0.789,0,Python socket-based benchmark
2026-04-16T22:23:04.478739,192.168.192.166,0,0,
2026-04-16T22:23:05.479991,192.168.192.166,0,0,
2026-04-16T22:23:06.482220,192.168.192.166,0,0,
2026-04-16T22:23:07.483928,192.168.192.166,0,0,
2026-04-16T22:23:08.485888,192.168.192.166,0,0,
2026-04-16T22:23:09.487158,192.168.192.166,0.825,0,Python socket-based benchmark
2026-04-16T22:26:08.902806,192.168.192.166,0,0,
2026-04-16T22:26:09.904743,192.168.192.166,0,0,
2026-04-16T22:26:10.906712,192.168.192.166,0,0,
2026-04-16T22:26:11.908557,192.168.192.166,0,0,
2026-04-16T22:26:12.910502,192.168.192.166,0,0,
2026-04-16T22:26:13.911522,192.168.192.166,0.743,0,Python socket-based benchmark
2026-04-16T22:26:14.745318,192.168.192.170,0,0,
2026-04-16T22:26:15.747717,192.168.192.170,0,0,
2026-04-16T22:26:16.750225,192.168.192.170,0,0,
2026-04-16T22:26:17.751654,192.168.192.170,0,0,
2026-04-16T22:26:18.753566,192.168.192.170,0,0,
2026-04-16T22:26:19.755488,192.168.192.170,1.189,0,Python socket-based benchmark
2026-04-16T22:27:56.889068,192.168.192.166,0,0,
2026-04-16T22:27:57.890851,192.168.192.166,0,0,
2026-04-16T22:27:58.892521,192.168.192.166,0,0,
2026-04-16T22:27:59.894472,192.168.192.166,0,0,
2026-04-16T22:28:00.896102,192.168.192.166,0,0,
2026-04-16T22:28:01.897853,192.168.192.166,0.818,0,Python socket-based benchmark
2026-04-16T22:28:02.791692,192.168.192.170,0,0,
2026-04-16T22:28:03.794002,192.168.192.170,0,0,
2026-04-16T22:28:04.796302,192.168.192.170,0,0,
2026-04-16T22:28:05.799055,192.168.192.170,0,0,
2026-04-16T22:28:06.802271,192.168.192.170,0,0,
2026-04-16T22:28:07.805091,192.168.192.170,1.348,0,Python socket-based benchmark
